,食品,质量,水,蛋白质,脂肪,碳水
,粮食,450,90,45,0,300
,豆,50,10,18,5,18
,蔬菜,450,400,0,0,20
,水果,50,45,0,0,5
,奶,250,225,10,10,10
,肉,200,130,30,40,0
,合计,1450,900,103,55,353
,热量,/,0,412,495,1412
